ITEMNUMBER,count
A0000001,284679
A0000002,3848
A0000003,2699
A0000004,2334
A0000005,102
A0000006,42
A0000007,60
A0000008,25
A0000009,14
A0000010,97
A0000011,20
A0000058,2908
A0000059,34
A0000060,3200
A0000061,3192
A0000062,14928
A0000063,1
A0000064,1195
A0000065,4
A0000066,79
A0000067,146
A0000068,1381
A0000069,95
A0000070,95
A0000071,60
A0000072,990
A0000073,4
A0000077,2
A0000078,3
A0000079,2
A0000080,2
A0000083,1
A0000088,2
A0000089,3
A0000090,3
A0000091,2
A0000094,7
A0000095,2
A0000098,4
A0000100,1
A0000108,3
A0000114,5
A0000115,3
A0000116,1
A0000117,1
A0000125,12
A0000127,2
A0000128,11
A0000129,2
A0000131,2
A0000135,3
A0000165,1
A0000173,1
A0000176,1
A0000180,1
A0000187,1
A0000190,1
A0000198,2
A0000201,1
A0000227,1
A0000242,1
A0000247,7
A0000249,2
A0000251,1
A0000252,1
A0000253,2
A0000256,8
A0000257,4
A0000258,15
A0000259,5
A0000263,6
A0000268,1
A0000273,2
A0000274,6
A0000275,1
A0000276,343
A0000277,345
A0000280,216
A0000281,1
A0000282,4
A0000283,21
A0000284,72
A0000285,81
A0000288,1
A0000293,30
A0000295,138
A0000296,22
A0000297,115
A0000299,2
A0000301,4
A0000302,3
A0000303,282
A0000304,403
A0000305,1993
A0000306,1
A0000307,4
A0000308,2
A0000309,1
A0000311,142
A0000312,7
A0000313,868
A0000314,1145
A0000315,261
A0000316,3
A0000317,250
A0000318,15
A0000320,90
A0000321,6
A0000322,1
A0000323,1
A0000324,7
A0000325,44
A0000326,290
A0000327,437
A0000328,107
A0000329,43
A0000330,2
A0000331,11
A0000334,1
A0000336,4
A0000338,1
A0000339,65
A0000340,86
A0000341,7
A0000342,56
A0000343,43
A0000344,5
A0000346,1
A0000348,66
A0000351,11
A0000352,1
A0000353,11
A0000355,1
A0000356,13
A0000358,7
A0000359,2
A0000360,3
A0000364,14
A0000365,12
A0000366,5
A0000367,15
A0000368,7
A0000370,54
A0000371,6
A0000372,296
A0000373,10
A0000374,524
A0000376,1
A0000377,113
A0000378,376
A0000381,126
A0000384,39
A0000385,1
A0000387,103
A0000389,141
A0000390,3
A0000395,104
A0000396,2
A0000397,1
A0000400,8
A0000401,2
A0000405,231
A0000406,772
A0000407,4
A0000408,5
A0000411,22
A0000412,47
A0000413,90
A0000414,94
A0000415,19
A0000417,4
A0000418,2
A0000419,53
A0000420,75
A0000422,4
A0000423,13
A0000425,2579
A0000426,1594
A0000427,1381
A0000428,1
A0000429,44
A0000430,328
A0000431,139
A0000432,532
A0000433,841
A0000435,133
A0000439,167
A0000443,12
A0000444,3
A0000445,115
A0000446,1
A0000447,3
A0000448,2
A0000451,5
A0000452,3
A0000453,1
A0000456,1
A0000461,5
A0000462,2
A0000463,1
A0000464,1
A0000467,1
A0000469,5
A0000471,1
A0000476,3
A0000477,1
A0000479,11
A0000482,1
A0000483,2
A0000485,2
A0000488,1
A0000489,1
A0000492,2
A0000505,3
A0000508,4
A0000510,1
A0000511,32
A0000527,1
A0000528,2
A0000538,25
A0000540,83
A0000541,2
A0000543,79
A0000544,26
A0000552,10
A0000553,10
A0000556,17
A0000557,18
A0000558,1
A0000561,24
A0000563,10
A0000564,3
A0000566,2
A0000567,11
A0000569,1
A0000570,1
A0000572,2
A0000573,2
A0000576,14
A0000577,5
A0000578,1
A0000580,1
A0000581,2
A0000582,4
A0000583,1
A0000585,4
A0000590,2
A0000592,7
A0000595,2
A0000597,1
A0000598,1
A0000600,1
A0000602,1
A0000603,1
A0000605,3
A0000606,1
A0000607,1
A0000608,3
A0000611,1
A0000612,4
A0000613,3
A0000617,3
A0000618,5
A0000619,1
A0000621,1
A0000624,2
A0000625,9
A0000626,2
A0000630,3
A0000631,5
A0000633,2
A0000637,2
A0000638,2
A0000639,1
A0000647,1
A0000649,1
A0000653,2
A0000654,2
A0000655,60
A0000657,1
A0000659,2
A0000660,2
A0000663,5
A0000664,1
A0000665,1
A0000666,12
A0000667,16
A0000668,6
A0000669,1
A0000670,36
A0000671,4
A0000673,1
A0000677,10
A0000678,9
A0000679,1
A0000680,5
A0000681,12
A0000682,22
A0000683,1
A0000685,2
A0000690,1
A0000691,3
A0000692,9
A0000693,17
A0000694,1
A0000695,13
A0000696,12
A0000699,5
A0000701,14
A0000702,3
A0000707,1
A0000710,1
A0000711,1
A0000713,1
A0000722,1
A0000723,2
A0000725,1
A0000731,2
A0000738,1
A0000742,48
A0000744,1
A0000747,1
A0000752,1
A0000753,1
A0000754,1
A0000768,1
A0000769,8
A0000770,9
A0000771,2
A0000772,6
A0000773,12
A0000774,9
A0000775,1
A0000780,1
A0000781,10
A0000782,3
A0000783,1
A0000784,1
A0000786,2
A0000787,2
A0000789,1
A0000795,2
A0000796,2
A0000801,1
A0000802,9
A0000803,15
A0000804,12
A0000805,400
A0000806,662
A0000807,1016
A0000808,201
A0000809,105
A0000810,2117
A0000816,5
A0000817,1
A0000818,7
A0000819,2
A0000823,1
A0000829,1
A0000830,22
A0000831,1
A0000832,1
A0000833,1
A0000835,2
A0000836,14
A0000837,28
A0000838,23
A0000839,61
A0000841,793
A0000842,374
A0000843,1
A0000844,10
A0000845,3
A0000850,6
A0000853,1
A0000854,5
A0000857,5
A0000858,2
A0000859,13
A0000860,20
A0000861,2
A0000868,229
A0000869,4
A0000870,7
A0000874,23
A0000875,3
A0000878,42
A0000879,1
A0000887,2
A0000888,12
A0000894,22
A0000895,325
A0000896,1238
A0000897,277
A0000898,648
A0000899,169
A0000900,125
A0000901,564
A0000902,28
A0000903,3
A0000906,5
A0000908,35
A0000910,19
A0000916,44
A0000917,2
A0000918,9
A0000920,23
A0000922,1
A0000923,249
A0000924,1
A0000925,26
A0000926,11
A0000927,44
A0000930,2
A0000932,9
A0000934,3
A0000935,3
A0000937,4
A0000938,6
A0000948,27
A0000949,10
A0000951,4
A0000955,6
A0000956,4
A0000957,2
A0000958,1
A0000962,1
A0000965,3
A0000967,1
A0000969,1
A0000971,7
A0000972,42
A0000973,3
A0000975,1
A0000977,14
A0000978,3
A0000979,126
A0000981,5
A0000985,420
A0000986,80
A0000987,24
A0000988,3
A0000989,42
A0000990,336
A0000991,282
A0000992,1545
A0000993,28
A0000994,260
A0000995,283
A0000996,233
A0000999,323
A0001000,691
A0001002,8
A0001004,1
A0001005,440
A0001006,276
A0001007,292
A0001008,1314
A0001009,299
A0001010,35
A0001011,928
A0001012,142
A0001013,499
A0001014,102
A0001015,471
A0001016,788
A0001017,1
A0001018,445
A0001019,823
A0001020,229
A0001021,10
A0001023,11
A0001025,4
A0001026,29
A0001027,15
A0001028,1
A0001029,24
A0001031,1
A0001033,278
A0001034,62
A0001038,8
A0001039,4
A0001041,6
A0001042,9
A0001043,60
A0001052,355
A0001053,386
A0001054,511
A0001055,291
A0001056,143
A0001057,491
A0001061,2
A0001062,1
A0001064,2
A0001065,5
A0001066,6
A0001067,23
A0001068,19
A0001070,2
A0001071,48
A0001072,3
A0001073,15
A0001074,1
A0001075,5
A0001076,5
A0001077,1
A0001084,1
A0001086,4
A0001088,6
A0001089,11
A0001090,1
A0001093,3
A0001094,3
A0001097,51
A0001098,27
A0001099,25
A0001100,35
A0001101,93
A0001102,102
A0001103,25
A0001104,2
A0001105,3
A0001106,49
A0001107,11
A0001108,9
A0001111,1
A0001112,861
A0001113,770
A0001114,432
A0001115,447
A0001116,376
A0001117,614
A0001118,404
A0001119,276
A0001120,2136
A0001121,950
A0001122,17
A0001123,105
A0001124,6158
A0001125,1
A0001126,2
A0001128,3841
A0001129,126
A0001131,115
A0001132,8
A0001133,1
A0001134,1
A0001135,12
A0001136,21
A0001137,734
A0001138,457
A0001139,46
A0001140,6
A0001141,94
A0001142,87
A0001143,2
A0001146,22
A0001147,821
A0001148,8
A0001150,3
A0001151,75
A0001152,118
A0001153,105
A0001154,361
A0001155,199
A0001156,122
A0001157,156
A0001158,26
A0001159,8
A0001160,3
A0001162,49
A0001163,9
A0001164,5
A0001166,2
A0001167,3
A0001169,1
A0001170,9
A0001172,233
A0001173,110
A0001174,145
A0001175,145
A0001176,160
A0001177,2
A0001179,1
A0001180,8
A0001181,16
A0001182,3574
A0001183,1
A0001185,2
A0001186,38
A0001187,6
A0001188,25
A0001189,95
A0001190,2
A0001192,31
A0001193,29
A0001196,429
A0001197,734
A0001198,472
A0001199,184
A0001200,451
A0001201,266
A0001202,126
A0001203,165
A0001204,86
A0001205,42
A0001206,57
A0001207,484
A0001209,6
A0001210,3
A0001212,34
A0001217,20
A0001218,1060
A0001219,5700
A0001220,5
A0001222,4
A0001223,351
A0001224,96
A0001225,1
A0001226,15
A0001227,50
A0001228,2
A0001229,1
A0001231,2
A0001232,6
A0001233,99
A0001234,4
A0001235,47
A0001237,76
A0001241,2020
A0001242,95
A0001243,93
A0001247,4
A0001248,2
A0001249,3
A0001250,6
A0001252,4
A0001258,1
A0001263,6
A0001264,5
A0001267,2
A0001276,17
A0001277,11
A0001280,2
A0001281,29
A0001282,462
A0001283,1399
A0001284,497
A0001285,797
A0001286,49
A0001287,94
A0001288,3190
A0001289,1024
A0001290,697
A0001291,40
A0001292,835
A0001293,289
A0001294,460
A0001295,494
A0001296,281
A0001297,624
A0001298,378
A0001299,488
A0001302,958
A0001303,1077
A0001306,62
A0001307,3
A0001308,9
A0001309,5
A0001310,2
A0001311,18
A0001312,1
A0001313,81
A0001314,22
A0001315,417
A0001316,341
A0001317,47
A0001318,110
A0001319,290
A0001320,4
A0001321,9
A0001322,196
A0001323,268
A0001324,90
A0001325,181
A0001326,82
A0001327,138
A0001328,104
A0001329,94
A0001330,294
A0001331,443
A0001333,265
A0001335,130
A0001336,81
A0001337,79
A0001338,161
A0001339,37
A0001340,32
A0001341,319
A0001342,146
A0001343,204
A0001344,363
A0001346,76
A0001347,244
A0001348,223
A0001349,73
A0001350,41
A0001352,13
A0001353,2
A0001355,3
A0001357,183
A0001358,257
A0001359,266
A0001363,10
A0001365,47
A0001366,251
A0001367,6
A0001372,1104
A0001375,113
A0001376,13
A0001377,7
A0001380,6
A0001381,1197
A0001382,178
A0001383,327
A0001384,231
A0001385,145
A0001386,139
A0001387,352
A0001388,896
A0001389,126
A0001391,2
A0001392,159
A0001393,1
A0001394,44
A0001396,75
A0001397,1
A0001398,50
A0001400,103
A0001401,4
A0001402,131
A0001411,2
A0001415,1
A0001418,24
A0001420,269
A0001421,47
A0001423,142
A0001424,16
A0001425,5
A0001426,1
A0001427,46
A0001430,5
A0001431,6
A0001434,6
A0001438,10
A0001440,1
A0001441,46
A0001442,255
A0001443,1
A0001445,5
A0001446,1
A0001450,6
A0001453,1
A0001454,1
A0001455,1
A0001457,23
A0001458,2
A0001461,6
A0001465,15
A0001466,2
A0001467,102
A0001488,20
A0001489,59
A0001492,2
A0001493,1
A0001494,12
A0001496,157
A0001497,431
A0001498,76
A0001499,10
A0001500,65
A0001501,4
A0001502,375
A0001503,188
A0001504,236
A0001506,7
A0001507,1
A0001508,3
A0001509,1
A0001510,623
A0001511,136
A0001512,25
A0001513,87
A0001514,149
A0001515,84
A0001516,95
A0001517,124
A0001518,95
A0001519,44
A0001520,132
A0001525,14
A0001526,2
A0001528,2
A0001529,4
A0001530,4
A0001532,1
A0001534,6
A0001535,9
A0001536,16
A0001537,5
A0001538,187
A0001539,1
A0001541,5
A0001542,3
A0001543,28
A0001544,6
A0001545,7
A0001546,3
A0001547,47
A0001548,4
A0001549,4
A0001551,1
A0001552,4
A0001553,24
A0001554,34
A0001555,17
A0001557,14
A0001559,10
A0001560,665
A0001561,211
A0001562,122
A0001563,533
A0001564,171
